,0
0,frame_number
1,abs_bbox_x1
2,abs_bbox_y1
3,abs_bbox_x2
4,abs_bbox_y2
5,class_prec
6,obj_prec
7,class
8,emb_1
9,emb_2
10,emb_3
11,emb_4
12,emb_5
13,emb_6
14,emb_7
15,emb_8
16,emb_9
17,emb_10
18,emb_11
19,emb_12
20,emb_13
21,emb_14
22,emb_15
23,emb_16
24,emb_17
25,emb_18
26,emb_19
27,emb_20
28,emb_21
29,emb_22
30,emb_23
31,emb_24
32,emb_25
33,emb_26
34,emb_27
35,emb_28
36,emb_29
37,emb_30
38,emb_31
39,emb_32
40,emb_33
41,emb_34
42,emb_35
43,emb_36
44,emb_37
45,emb_38
46,emb_39
47,emb_40
48,emb_41
49,emb_42
50,emb_43
51,emb_44
52,emb_45
53,emb_46
54,emb_47
55,emb_48
56,emb_49
57,emb_50
58,emb_51
59,emb_52
60,emb_53
61,emb_54
62,emb_55
63,emb_56
64,emb_57
65,emb_58
66,emb_59
67,emb_60
68,emb_61
69,emb_62
70,emb_63
71,emb_64
72,emb_65
73,emb_66
74,emb_67
75,emb_68
76,emb_69
77,emb_70
78,emb_71
79,emb_72
80,emb_73
81,emb_74
82,emb_75
83,emb_76
84,emb_77
85,emb_78
86,emb_79
87,emb_80
88,emb_81
89,emb_82
90,emb_83
91,emb_84
92,emb_85
93,emb_86
94,emb_87
95,emb_88
96,emb_89
97,emb_90
98,emb_91
99,emb_92
100,emb_93
101,emb_94
102,emb_95
103,emb_96
104,emb_97
105,emb_98
106,emb_99
107,emb_100
108,emb_101
109,emb_102
110,emb_103
111,emb_104
112,emb_105
113,emb_106
114,emb_107
115,emb_108
116,emb_109
117,emb_110
118,emb_111
119,emb_112
120,emb_113
121,emb_114
122,emb_115
123,emb_116
124,emb_117
125,emb_118
126,emb_119
127,emb_120
128,emb_121
129,emb_122
130,emb_123
131,emb_124
132,emb_125
133,emb_126
134,emb_127
135,emb_128
136,emb_129
137,emb_130
138,emb_131
139,emb_132
140,emb_133
141,emb_134
142,emb_135
143,emb_136
144,emb_137
145,emb_138
146,emb_139
147,emb_140
148,emb_141
149,emb_142
150,emb_143
151,emb_144
152,emb_145
153,emb_146
154,emb_147
155,emb_148
156,emb_149
157,emb_150
158,emb_151
159,emb_152
160,emb_153
161,emb_154
162,emb_155
163,emb_156
164,emb_157
165,emb_158
166,emb_159
167,emb_160
168,emb_161
169,emb_162
170,emb_163
171,emb_164
172,emb_165
173,emb_166
174,emb_167
175,emb_168
176,emb_169
177,emb_170
178,emb_171
179,emb_172
180,emb_173
181,emb_174
182,emb_175
183,emb_176
184,emb_177
185,emb_178
186,emb_179
187,emb_180
188,emb_181
189,emb_182
190,emb_183
191,emb_184
192,emb_185
193,emb_186
194,emb_187
195,emb_188
196,emb_189
197,emb_190
198,emb_191
199,emb_192
200,emb_193
201,emb_194
202,emb_195
203,emb_196
204,emb_197
205,emb_198
206,emb_199
207,emb_200
208,emb_201
209,emb_202
210,emb_203
211,emb_204
212,emb_205
213,emb_206
214,emb_207
215,emb_208
216,emb_209
217,emb_210
218,emb_211
